,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
21,Posto Petrobras,ChIJuyeAe4AEFgcRFbzO9odewwg,-12.99654,-38.52706,4.6,gas_station,"R. da Graça, 06 - Graça, Salvador"
22,Posto Shell,ChIJ9aSQMXkDFgcRQ8i8ScJRhhI,-13.0045733,-38.5236651,3.7,gas_station,"Av. Centenário, 2726 - Chame-Chame, Salvador"
23,Posto Petrobras,ChIJye3_x_cPFgcROzhoXiTG1t4,-12.9845821,-38.519366,3.5,gas_station,"R. Carlos Gomes, 1064 - Dois de Julho, Salvador"
24,Multipostos Comercial de Combustíveis e Peças,ChIJaRgpfIAEFgcRiwV2bXwgJFw,-12.9973184,-38.5265995,0,gas_station,"R. da Graça, 120 - Graça, Salvador"
25,Post Cheapest,ChIJaTaISLwEFgcRfX6NQXglJFQ,-12.9904769,-38.5023404,3.7,gas_station,"Av. Vasco da Gama, 484 A - Engenho Velho de Brotas, Salvador"
26,Posto Petrobras,ChIJzeOrx58FFgcRmB3AqZ9E2lc,-12.99837,-38.50404,3.9,gas_station,"Av. Anita Garibaldi, S/N - Federação, Salvador"
27,Distribuidora de Petróleo da Bahia,ChIJv1guJpgEFgcRFY6IUdplW8I,-12.9916854,-38.5074516,3.9,gas_station,"Av. Anita Garibaldi, 252 - Ondina, Salvador"
28,Mega Posto Garibaldi,ChIJY5xsnKAEFgcRXSeU9nXC1Fw,-13.002852,-38.502411,4.3,gas_station,"Av. Anita Garibaldi, 1651 - Federação, Salvador"
29,Posto Alegria,ChIJG3ZbrJMEFgcRM6cgYoNrJ5E,-12.9881807,-38.5133808,4.2,gas_station,"Av. Vale dos Barris, 32 - Barris, Salvador"
30,Posto Alameda da Barra,ChIJhW06BHgDFgcRTS7F420zmQY,-13.0085657,-38.5266583,4.1,gas_station,"R. Miguel Burnier, 1 - Barra, Salvador"
