,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
70,Posto P4 Combustíveis,ChIJseNkx0YFFgcR4mNswUqdQnM,-12.9436532,-38.49967170000001,3.6,gas_station,"R. Fernandes Viêira, 54 - Mares, Salvador"
72,Posto De Gasolina,ChIJkejU1cUEFgcRBcgFj-CmPCY,-12.9801796,-38.4978167,3.9,gas_station,"Engenho Velho de Brotas, Salvador"
74,Posto Shell - Posto Chame Chame Com Serv Comb Ltd,ChIJQVYTXXkDFgcRYR64FM5Gi34,-13.0055456,-38.5223518,4.1,gas_station,"R. Comendador Francisco Pedreira, 131 - Chame-Chame, Salvador"
75,Posto Shell - Carlos Eduardo Casagrande,ChIJibQ26zgbFgcR-ACA0cJeMPI,-12.98855,-38.4706176,4.2,gas_station,"Av. Antônio Carlos Magalhães, 2749 - Parque Bela Vista, Salvador"
76,Posto de Combustível Itajaí,ChIJDW6B_1kaFgcRTFY_YOpEY3I,-12.9684882,-38.4386948,2.6,gas_station,"Av. Luís Viana Filho, 2078 - Imbuí, Salvador"
77,Posto Petrobras,ChIJzeOrx58FFgcRmB3AqZ9E2lc,-12.99837,-38.50404,3.9,gas_station,"Av. Anita Garibaldi, S/N - Federação, Salvador"
78,Posto Petrobras,ChIJmV2_ydUFFgcRnZnTS95MiQI,-12.9913424,-38.5234162,3.4,gas_station,"Av. Reitor Miguel Calmon, 2240 - VALE DO CANELA, Salvador"
79,Posto Shell - Grl Organizacao Rev Combs Lubs Ltda,ChIJN4kHQtEaFgcRjFIW9x-KCRk,-12.954721,-38.4749714,3.9,gas_station,"Av. Barros Reis, 3132 - Pau Miúdo, Salvador"
80,Posto Shell - POSTO JEQUITAIA LTDA,ChIJNULcFOAEFgcRM-3x3OeW05Y,-12.9625032,-38.5048605,3.9,gas_station,"Tv. Frederico Pontes, 107 - Água de Meninos, Salvador"
81,Posto Trobogy,ChIJ6VawrMgQFgcRvVr2SuJalC4,-12.9194064,-38.4108764,4.0,gas_station,"Av. Aliomar Baleeiro, 6880 - São Marcos, Salvador"
